state,year,y_mean_temp,spring1
Bayern,1991,7.21077216748769,4.17247727272727
Bayern,1992,8.47347761497762,6.5066814159292
Bayern,1993,7.86499640804598,6.18083333333333
Bayern,1994,9.34728179228179,6.58752136752137
Bayern,1995,8.03533022533023,6.59189655172414
Bayern,1996,6.69158767158767,4.28062678062678
Bayern,1997,8.03251828631139,6.59940789473684
Bayern,1998,8.31083413325805,6.98796052631579
Bayern,1999,8.3962623025123,6.25891592920354
Bayern,2000,9.16301043771044,7.77441964285714
Bayern,2001,8.44748643161246,7.08213585434174
Bayern,2002,8.81524328757662,7.4613115942029
Bayern,2003,8.65835247564935,5.82828869047619
Bayern,2004,8.11736732894988,5.99469841269841
Bayern,2005,7.94003326774236,5.29206386292835
Bayern,2006,8.34674521774522,4.96479545454545
Bayern,2007,8.73168762390258,8.39107605177994
Bayern,2008,8.59626526735242,6.88739197530864
Bayern,2009,8.41553193843194,6.75604761904762
Bayern,2010,7.30748802308802,5.22606349206349
Bayern,2011,8.85930136530137,7.24554487179487
Bayern,2012,8.17532405094905,5.59197115384615
Bayern,2013,7.97229664289958,4.43927392739274
Bayern,2014,9.60166955266955,7.79214285714286
Bayern,2015,9.37889439290868,5.98802884615385
Bayern,2016,8.77829394411404,6.73842767295598
Bayern,2017,8.78042300362112,7.42826257861635
Bayern,2018,9.76381632361349,6.81200793650794
Bayern,2019,9.37704011544012,6.83353968253968
Bayern,2020,9.46889896908647,7.63950320512821
Berlin,1719,10.1833333333333,7.6
Berlin,1720,9.725,7.125
Berlin,1721,8.91666666666667,5.775
Berlin,1728,8.61666666666667,7.025
Berlin,1729,-0.225,1.1
Berlin,1730,8.64166666666667,6.775
Berlin,1731,7.74166666666667,4.675
Berlin,1732,7.9,7.625
Berlin,1733,8.75833333333333,7.4
Berlin,1734,8.39166666666667,7.75
Berlin,1735,8.63333333333333,7.25
Berlin,1736,8.35833333333333,5.875
Berlin,1737,8.54166666666667,6.875
Berlin,1738,8.64166666666667,7.4
Berlin,1739,7.91666666666667,7.075
Berlin,1740,5.35833333333333,1.15
Berlin,1741,8.325,5.725
Berlin,1742,7.31666666666667,5.175
Berlin,1743,8.73333333333333,6
Berlin,1744,8.56666666666667,6.35
Berlin,1745,8.55833333333333,6.275
Berlin,1746,8.475,5.775
Berlin,1747,9.24166666666667,6.825
Berlin,1748,9.28333333333333,5.675
Berlin,1749,9.2,6.525
Berlin,1750,9.95833333333333,9.125
Berlin,1751,11.12,7.6
Berlin,1755,3,-6
Berlin,1756,11.7166666666667,9.55
Berlin,1757,10.9166666666667,9.55
Berlin,1758,9.85,8.125
Berlin,1759,10.3916666666667,8.325
Berlin,1760,10.4166666666667,7.35
Berlin,1761,11.0166666666667,9.65
Berlin,1762,9.975,7.975
Berlin,1763,10.4583333333333,8.4
Berlin,1764,10.275,9.175
Berlin,1765,9.91666666666667,6.95
Berlin,1766,10.8833333333333,9.375
Berlin,1767,10.225,8.25
Berlin,1768,9.91666666666667,7.3
Berlin,1769,8.65,6.45
Berlin,1770,8.78333333333333,5.375
Berlin,1771,7.75833333333333,4
Berlin,1772,9.35833333333333,6.075
Berlin,1773,9.74166666666667,7.025
Berlin,1774,8.4,7.85
Berlin,1775,10.0916666666667,7.625
Berlin,1776,8.125,6.575
Berlin,1777,8.21666666666667,5.025
Berlin,1778,9.8,7.3
Berlin,1779,11.0333333333333,9.5
Berlin,1780,9.06666666666667,6.825
Berlin,1781,10.375,8.5
Berlin,1782,8.55833333333333,4.925
Berlin,1783,9.86666666666667,7.75
Berlin,1784,7.93333333333333,4.975
Berlin,1785,7.775,2.925
Berlin,1786,8.125,6.3
Berlin,1787,9.45833333333333,7
Berlin,1788,8.11666666666667,5.85
Berlin,1789,9.10833333333333,6.25
Berlin,1790,9.35,8
Berlin,1791,9.55833333333333,7.6
Berlin,1792,8.94166666666667,6.225
Berlin,1793,9.3,6.85
Berlin,1794,10.075,9.425
Berlin,1795,9.4,6.5
Berlin,1796,9.525,6.05
Berlin,1797,10.15,8.075
Berlin,1798,9.50833333333333,8.025
Berlin,1799,6.59166666666667,3.275
Berlin,1800,8.43333333333333,6.4
Berlin,1801,9.51666666666667,7.7
Berlin,1802,9.1,6.45
Berlin,1803,8.13333333333333,6.25
Berlin,1804,8.11666666666667,5.125
Berlin,1805,6.78333333333333,4.475
Berlin,1806,9.10833333333333,6.175
Berlin,1807,8.98333333333333,5.65
Berlin,1808,7.69166666666667,4.475
Berlin,1809,8.20833333333333,5.975
Berlin,1810,8.06666666666667,5.075
Berlin,1811,9.66666666666667,7.825
Berlin,1812,6.83333333333333,4.55
Berlin,1813,8.36666666666667,7.35
Berlin,1814,7.15,3.475
Berlin,1815,7.98333333333333,7.275
Berlin,1816,7.2,4.8
Berlin,1817,8.85,5.95
Berlin,1818,9.14166666666667,6.95
Berlin,1819,9.70833333333333,7.975
Berlin,1820,7.99166666666667,7.25
Berlin,1821,9.74166666666667,7.325
