year,spring1,spring1.sd,y_mean_temp,y_mean_temp.sd
1819,6.96375,5.19782246073616,8.68333333333333,7.1247439172594
1820,6.150625,5.91986989581134,7.16833333333333,7.68926284637009
1821,5.54875,5.97296673912275,8.32625,6.23220142280945
1822,8.44625,4.94569695122268,9.47291666666667,7.24714557406095
1823,6.27875,5.36415619335107,7.85604166666667,7.46138078020169
1824,5.758,4.59415028510227,8.96316666666667,6.37396199370338
1825,6.2915,5.99133433429175,8.91583333333333,6.62339799413417
1826,6.49125,4.61778255885545,8.78,8.26847364016045
1827,6.12833333333333,8.23022513647722,8.65736111111111,8.33489778624782
1828,6.70535714285714,5.46243432515337,8.94464285714286,6.72925271033767
1829,5.01107142857143,6.35904275307611,6.51071428571429,8.83074991503905
1830,6.59892857142857,6.77038558959134,8.14678571428572,8.34836354510507
