"AccName","GbifKey","OrigName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep"
"Loranthus europaeus Jacq.",5639535,"Loranthus europaeus Jacq.","Loranthus europaeus",1885,"N","p",4,5,2,"s","do",NA,NA,"in","zo","X","A","T1","Yes"
"Lotus alpinus (Ser.) Schleich. ex Ramond",5356917,"Lotus alpinus (DC.) Schleich. ex Ramond","Lotus alpinus",1886,"H","p",6,8,3,"s","so","h","I","in","zo","X","Hb","T3","Intermediate"
"Lotus corniculatus L.",5357013,"Lotus corniculatus L.","Lotus corniculatus",1887,"H","p",6,8,3,"ssv","so","h","SC, SI","in","zo","X","Hb","T1, T10, T6, T7","Intermediate"
"Lotus glaber Mill.",5350087,"Lotus tenuis Waldst. & Kit. ex Willd.","Lotus glaber",1888,"H","p",6,8,3,"s","so","h","SI","in","zo","X","Hb","H2, T7","Yes"
"Lotus pedunculatus Cav.",5356854,"Lotus pedunculatus Cav.","Lotus pedunculatus",1889,"H","p",6,7,2,"sv","so","h","SI","in","zo","X","Hb","L4, T7","Yes"
"Ludwigia palustris (L.) Elliott",5421025,"Ludwigia palustris (L.) Elliott","Ludwigia palustris",1890,"H, T","a, p",7,8,2,"sv","so, mo","h","SC","se","se","AO","A","L3","No"
"Lunaria annua L.",5373324,"Lunaria annua L.","Lunaria annua",1891,"C","b",4,6,3,"s","so","h",NA,"se, in","se, zo",NA,"B","T8",NA
"Lunaria rediviva L.",5373322,"Lunaria rediviva L.","Lunaria rediviva",1892,"H","p",5,7,3,"sv","so","h","SC","in","zo","XF","B","T1","Intermediate"
"Lupinus albus L.",2964167,"Lupinus albus L.","Lupinus albus",1893,"T","a",4,7,4,"s","so","h","SC","se, in","se, zo","AF","H",NA,"Intermediate"
"Lupinus angustifolius L.",2964025,"Lupinus angustifolius L.","Lupinus angustifolius",1894,"T","a",6,9,4,"s","so","h","SC","se, in","se, zo","AO","H",NA,"Intermediate"
"Lupinus luteus L.",2963817,"Lupinus luteus L.","Lupinus luteus",1895,"T","a",6,9,4,"s","so","h","SC","se, in","se, zo","X, XF","H",NA,"Intermediate"
"Lupinus polyphyllus Lindl.",2964355,"Lupinus polyphyllus Lindl.","Lupinus polyphyllus",1896,"H","p",6,8,3,"s","so","h","SC","se, in","se, zo","XF","H","T2, T8","Intermediate"
"Luronium natans Raf.",2864775,"Luronium natans (L.) Raf.","Luronium natans",1897,"A","p",5,8,4,"sv","so","h",NA,"pk, in","se, zo",NA,"AB","L3, L4",NA
"Luzula alpina Hoppe ex Sturm",8017890,"Luzula alpina Hoppe","Luzula alpina",1898,"H","p",6,8,3,"sv","so","g3","SC","wi","ab","XF","W","T6","No"
"Luzula alpinopilosa (Chaix) Breistr.",2700948,"Luzula alpinopilosa (Chaix) Breistr.","Luzula alpinopilosa",1899,"H","p",6,8,3,"sv","so","g3","SC","wi","ab","XF","W","T3, T5","No"
"Luzula campestris DC.",2700828,"Luzula campestris (L.) DC.","Luzula campestris",1900,"H","p",3,4,2,"sv","so","g3","SC","wi, se, in","ab, se, zo","XF","W","T4, T6","Intermediate"
"Luzula congesta (Thuill.) Lej.",2700896,"Luzula congesta (Thuill.) Lej.","Luzula congesta",1901,"H","p",5,6,2,"sv","so","g3","SC","wi","ab","XF","W","T6","No"
"Luzula desvauxii Kunth",2701032,"Luzula desvauxii Kunth","Luzula desvauxii",1902,"H","p",6,7,2,"sv","so","g3","SC","wi","ab","XF","W","S2, T3","No"
"Luzula divulgata Kirschner",2700756,"Luzula divulgata Kirschner","Luzula divulgata",1903,"H","p",4,5,2,"sv","so","g3","SC","wi","ab","XF","W","T1","No"
"Luzula forsteri DC.",2700706,"Luzula forsteri (Sm.) DC.","Luzula forsteri",1904,"H","p",4,5,2,"sv","so","g3","SC","wi","ab","XF","W","T1","No"
"Luzula glabrata Desv.",2701001,"Luzula glabrata (Hoppe) Desv.","Luzula glabrata",1905,"H","p",6,7,2,"sv","so","g3","SC","wi","ab","XF","W","T3","No"
"Luzula luzulina Dalla Torre & Sarnth.",7893447,"Luzula luzulina (Vill.) Dalla Torre & Sarnth.","Luzula luzulina",1906,"H","p",6,7,2,"sv","so","g3","SC","wi","ab","XF","W","T1","No"
"Luzula luzuloides (Lam.) Dandy",2700874,"Luzula luzuloides (Lam.) Dandy & Wilmott","Luzula luzuloides",1907,"H","p",6,7,2,"sv","so","g3, g1","SC","wi, se","ab, se","AFXF","W","T1, T3, T4","Intermediate"
"Luzula lutea DC.",2700839,"Luzula multiflora (Ehrh.) Lej. s. str.","Luzula lutea",1908,"H","p",4,5,2,"sv","so","g3","SC","wi, in","ab, zo","XF","W","S2, T2, T4","Intermediate"
"Luzula nivea DC.",2700768,"Luzula nivea (L.) DC.","Luzula nivea",1909,"H","p",6,8,3,"sv","so","g3","SC","wi, se, ge, in","ab, se, se, zo","AFXF","W","T1","Intermediate"
"Luzula pallescens Sw.",2700640,"Luzula pallidula Kirschner","Luzula pallescens",1910,"H","p",4,5,2,"sv","so","g3","SC","wi","ab","XF","W","T6","No"
"Luzula pilosa Willd.",2700736,"Luzula pilosa (L.) Willd.","Luzula pilosa",1911,"H","p",4,5,2,"sv","so","g3","SC","wi, se","ab, se","XF","W","T1","Intermediate"
"Luzula spicata (L.) DC.",2700795,"Luzula spicata (L.) DC.","Luzula spicata",1912,"H","p",6,8,3,"sv","so","g3","SC","wi","ab","XF","W","T3","No"
"Luzula sudetica (Willd.) Schult.",2700802,"Luzula sudetica (Willd.) Schult.","Luzula sudetica",1913,"H","p",6,8,3,"sv","so","g1","SC","wi, se","ab, se","AF","W","S2","Intermediate"
"Luzula sylvatica (Huds.) Gaudin",2700859,"Luzula sylvatica (Huds.) Gaudin s. l.","Luzula sylvatica",1914,"H","p",5,6,2,"sv","so","g3","SC","wi","ab","XF","W","T1, T3, T4","No"
"Silene coronaria (L.) Clairv.",5384741,"Lychnis coronaria (L.) Desr.","Silene coronaria",1915,"H","p",6,8,3,"s","so, gm, gd",NA,"SC","se, in","se, zo","XF","B","T1",NA
"Silene flos-cuculi (L.) Greuter & Burdet",5384738,"Lychnis flos-cuculi L.","Silene flos",1916,"H","p",5,7,3,"sv","so, gm, gd","a2","SC, C","se, in","se, zo","XF","HFt","T7","Intermediate"
"Viscaria vulgaris Roehl.",8153621,"Lychnis viscaria L.","Viscaria vulgaris",1917,"H","p",5,7,3,"s","so, gm, gd, am, ad","h, a2","SC, I","se, in","se, zo","XF","Ft","T1, T6","Intermediate"
"Lycium barbarum L.",2928835,"Lycium barbarum L.","Lycium barbarum",1918,"N","p",6,9,4,"sv","so","h",NA,"se, in","se, zo",NA,"B","T10, T2",NA
"Lycium chinense Mill.",2928809,"Lycium chinense Mill.","Lycium chinense",1919,"N","p",6,9,4,"sv","so",NA,"SI","in","zo","X","B",NA,"Yes"
"Solanum lycopersicum L.",2930137,"Lycopersicon esculentum Mill.","Solanum lycopersicum",1920,"T","a",7,10,4,"s","so",NA,"SC","se, in","se, zo","AO","Po","L5",NA
"Lycopodiella inundata (L.) Holub",2688345,"Lycopodiella inundata (L.) Holub","Lycopodiella inundata",1921,"C","p",8,10,3,"sv","so",NA,NA,NA,NA,NA,NA,"S1",NA
"Spinulum annotinum (L.) A.Haines",3992189,"Lycopodium annotinum L.","Spinulum annotinum",1922,"C","p",8,9,2,"sv","so",NA,NA,NA,NA,"X",NA,"S3, T1",NA
"Lycopodium clavatum L.",2688393,"Lycopodium clavatum L.","Lycopodium clavatum",1923,"C","p",7,8,2,"sv","so",NA,NA,NA,NA,"X",NA,"T1, T2, T4",NA
"Lycopus europaeus L.",5341478,"Lycopus europaeus L.","Lycopus europaeus",1924,"H","p",7,9,3,"sv","gm, gd","a2","SC","in","zo","XF","BD","H3, L3, L4, S3","Intermediate"
"Lycopus exaltatus L.f.",5605751,"Lycopus exaltatus L. f.","Lycopus exaltatus",1925,"H","p",7,9,3,"sv","gd","a2","SC","in","zo","XF","BD","L4, L5","Intermediate"
"Lysimachia nemorum L.",7702019,"Lysimachia nemorum L.","Lysimachia nemorum",1926,"C","p",5,8,4,"sv","so","h","SI","se, in","se, zo","X","Po","L2, L5, T1","Intermediate"
"Lysimachia nummularia L.",3169379,"Lysimachia nummularia L.","Lysimachia nummularia",1927,"H","p",5,7,3,"vvs","so","g1","I, SI","in","zo","X","Po","L4, L5, T7","Intermediate"
"Lysimachia punctata L.",3169340,"Lysimachia punctata L.","Lysimachia punctata",1928,"G","p",6,8,3,"sv","so","h","SI","in","zo","X","Po","L4, L5, T8","Yes"
"Lysimachia thyrsiflora L.",3169358,"Lysimachia thyrsiflora L.","Lysimachia thyrsiflora",1929,"G","p",5,7,3,"sv","so","g2","SI","ge, in","se, zo","X","Po","S2, S3","Intermediate"
"Lysimachia vulgaris L.",3169386,"Lysimachia vulgaris L.","Lysimachia vulgaris",1930,"G","p",6,8,3,"sv","so","h","SI","se, in","se, zo","X","Po","L5, S2, S3","Intermediate"
"Lythrum hyssopifolia L.",3188747,"Lythrum hyssopifolia L.","Lythrum hyssopifolia",1931,"T","a",7,9,3,"ssv","so","g1","SC","se, in","se, zo","AF","B","L3","Intermediate"
"Lythrum salicaria L.",3188736,"Lythrum salicaria L.","Lythrum salicaria",1932,"H","p",7,9,3,"ssv","so","h","SI","se, in","se, zo","X","B","L3, L4, L5, T7","Intermediate"
"Berberis aquifolium Pursh",3033868,"Mahonia aquifolium (Pursh) Nutt.","Berberis aquifolium",1933,"N","p",4,6,3,"sv","so","h","SC, SI","se, in","se, zo","X","AB","T9","Intermediate"
"Maianthemum bifolium (L.) F.W.Schmidt",2769317,"Maianthemum bifolium (L.) F. W. Schmidt","Maianthemum bifolium",1934,"G","p",5,6,2,"sv","so","g2","SI","se, in","se, zo","X","PoA","T1","Intermediate"
"Malaxis monophyllos Sw.",2808211,"Malaxis monophyllos (L.) Sw.","Malaxis monophyllos",1935,"G","p",6,7,2,"sv","so",NA,"SC","in","zo","AFXF","AB","L5, T1",NA
"Malus pumila Mill.",3001093,"Malus domestica Borkh.","Malus pumila",1936,"M","p",4,5,2,"ssv","so","g3, g2","I","in","zo","X","AB","T2","Intermediate"
"Malus sylvestris Mill.",3001509,"Malus sylvestris Mill.","Malus sylvestris",1937,"M","p",5,5,1,"ssv","so","g3, g2","I","in","zo","X","AB","L5, T1","Intermediate"
"Malva alcea L.",3152365,"Malva alcea L.","Malva alcea",1938,"H","p",6,10,5,"s","so","a3","SC","in","zo","XF","B","T8, T9","Yes"
"Malva moschata L.",3152379,"Malva moschata L.","Malva moschata",1939,"H","p",6,10,5,"s","so","a3","SC","in","zo","XF","B","T6, T7","Yes"
"Malva neglecta Wallr",3152373,"Malva neglecta Wallr.","Malva neglecta",1940,"H, T","a, b",6,10,5,"s","so","a3","SC","se, in","se, zo","AFXF","B","T10, T8, T9","Intermediate"
"Malva pusilla Sm.",3152372,"Malva pusilla Sm.","Malva pusilla",1941,"H, T","a",6,9,4,"s","so","h","SC","se, kl, in","se, se, zo","AO","B","T10, T7, T8, T9","Intermediate"
"Malva sylvestris L.",3152374,"Malva sylvestris L.","Malva sylvestris",1942,"H","p",6,10,5,"s","so","a3","SC","in","zo","XF","B","T10, T8","Yes"
"Malva verticillata L.",3152377,"Malva verticillata L.","Malva verticillata",1943,"H, T","a",7,9,3,"s","so",NA,"SC","se, in","se, zo","XF","B",NA,NA
"Marrubium peregrinum L.",3905970,"Marrubium peregrinum L.","Marrubium peregrinum",1944,"H","p",7,8,2,"s","so","a1","SC","se, in","se, zo","XF","H","T8","Intermediate"
"Marrubium vulgare L.",2927069,"Marrubium vulgare L.","Marrubium vulgare",1945,"C","p",6,8,3,"s","so, gd","h","SC","se, in","se, zo","AFXF","H","T8","Intermediate"
"Marsilea quadrifolia L.",5274875,"Marsilea quadrifolia L.","Marsilea quadrifolia",1946,"A","p",9,10,2,"sv","do",NA,"I",NA,NA,"X",NA,"L3",NA
"Matricaria discoidea DC.",3103791,"Matricaria discoidea DC.","Matricaria discoidea",1947,"T","a",6,8,3,"s","so","a2","SC","se, in","se, zo","AF","B","T7","Intermediate"
"Matricaria chamomilla L.",8370958,"Matricaria recutita L.","Matricaria chamomilla",1948,"H, T","a",5,8,4,"s","so","a2",NA,"in","zo",NA,"B","T10, T7, T8, T9",NA
"Matteuccia struthiopteris (L.) Tod.",2650999,"Matteuccia struthiopteris (L.) Tod.","Matteuccia struthiopteris",1949,"C, G, H","p",7,8,2,"sv","so",NA,NA,NA,NA,NA,NA,"L5",NA
"Matthiola incana (L.) R.Br.",8207952,"Matthiola incana (L.) R. Br.","Matthiola incana",1950,"T","a",4,10,7,"s","so","h","SC","se, in","se, zo","AFXF","B",NA,"Intermediate"
"Medicago arabica (L.) Huds.",2965527,"Medicago arabica (L.) Huds.","Medicago arabica",1951,"T","a",4,6,3,"s","so","h","SC","se, in","se, zo","AFXF","H","T10, T7, T8, T9","Intermediate"
"Medicago falcata L.",2965354,"Medicago falcata L. s. str.","Medicago falcata",1952,"H","p",6,9,4,"sv","so","h",NA,"in","zo",NA,"H","T10, T6, T7, T8",NA
"Medicago lupulina L.",2965201,"Medicago lupulina L.","Medicago lupulina",1953,"H, T","a, b, p",5,10,6,"sv","so","h","SC","se, in","se, zo","AF, AO","H","T10, T6, T7, T8, T9","Intermediate"
"Medicago minima (L.) L.",2965572,"Medicago minima (L.) L.","Medicago minima",1954,"H, T","a",5,6,2,"s","so","h","SC","se","se","AO","H","T10, T5, T6","No"
"Medicago polymorpha L.",2965531,"Medicago polymorpha L.","Medicago polymorpha",1955,"T","a",5,6,2,"s","so","h","SC","se","se","AF","H",NA,"No"
"Medicago sativa L.",9151957,"Medicago x varia Martyn ","Medicago sativa",1956,"C","p",6,9,4,"s","so","h","I","in","zo","XF","H","T10, T6, T7, T8, T9","Intermediate"
"Melampyrum arvense L.",7331741,"Melampyrum arvense L.","Melampyrum arvense",1957,"T","a",6,9,4,"s","so","h","SC","in","zo","XF","Hh","T9","Intermediate"
"Melampyrum cristatum L.",3725765,"Melampyrum cristatum L.","Melampyrum cristatum",1958,"T","a",6,9,4,"s","so","h","SC","se, in","se, zo","AFXF","Hh","L5, T1, T2, T8","Intermediate"
"Melampyrum nemorosum L.",7331666,"Melampyrum nemorosum L.","Melampyrum nemorosum",1959,"T","a",5,9,5,"s","so","h","SC","se, in","se, zo","AFXF","Hh","T1, T2, T8","Intermediate"
"Melampyrum pratense L.",7693914,"Melampyrum pratense L.","Melampyrum pratense",1960,"T","a",6,9,4,"s","so","h","SC","se, in","se, zo","AF","Hh","T1, T4","Intermediate"
"Melampyrum sylvaticum L.",7331633,"Melampyrum sylvaticum L.","Melampyrum sylvaticum",1961,"T","a",6,9,4,"s","so","h","SC","se, in","se, zo","AFXF","Hh","T1","Intermediate"
"Melica altissima L.",2703109,"Melica altissima L.","Melica altissima",1962,"H","p",6,6,1,"sv","so",NA,NA,"wi","ab",NA,"W","T10",NA
"Melica ciliata L.",2703124,"Melica ciliata L.","Melica ciliata",1963,"H","p",6,6,1,"sv","so",NA,NA,"wi","ab",NA,"W","T10, T5, T6",NA
"Melica nutans L.",4118973,"Melica nutans L.","Melica nutans",1964,"G, H","p",5,6,2,"sv","so",NA,NA,"wi","ab",NA,"W","T1",NA
"Melica picta K.Koch",4116914,"Melica picta K. Koch","Melica picta",1965,"H","p",5,6,2,"sv","so",NA,NA,"wi","ab",NA,"W","T1",NA
"Melica transsilvanica Schur",4125291,"Melica transsilvanica Schur","Melica transsilvanica",1966,"H","p",6,6,1,"sv","so",NA,NA,"wi","ab",NA,"W","T7, T8",NA
"Melica uniflora Retz.",4116392,"Melica uniflora Retz.","Melica uniflora",1967,"G, H","p",5,6,2,"sv","so",NA,NA,"wi","ab",NA,"W","T1",NA
"Melica thuringiaca Rauschert",4125360,"Melica x thuringiaca Rauschert ","Melica thuringiaca",1968,"H","p",NA,NA,NA,"sv","so",NA,NA,"wi","ab",NA,"W","T7",NA
"Melilotus albus Medik.",2971095,"Melilotus albus Medik.","Melilotus albus",1969,"H, T","a, b",6,9,4,"s","so","h","SC, C","se, in","se, zo","AF","H","T10, T8","Intermediate"
"Melilotus altissimus Thuill.",2971042,"Melilotus altissimus Thuill.","Melilotus altissimus",1970,"H","b",7,9,3,"s","so","h","SC","in","zo","AFXF","H","L5, T8","Intermediate"
"Melilotus dentatus Pers.",2971089,"Melilotus dentatus (Waldst. & Kit.) Pers.","Melilotus dentatus",1971,"H, T","a, b",7,9,3,"s","so","h",NA,"in","zo",NA,"H","H2, T7",NA
"Melilotus indicus (L.) All.",2971016,"Melilotus indicus (L.) All.","Melilotus indicus",1972,"T","a",6,7,2,"s","so","h","SC","se","se","AF","H","L3, T10, T7","No"
"Melilotus officinalis Pall.",2971024,"Melilotus officinalis (L.) Lam.","Melilotus officinalis",1973,"H, T","a, b",6,9,4,"s","so","h","SC, SI","se, in","se, zo","X","H","L4, T10, T7, T8, T9","Intermediate"
"Melissa officinalis L.",5341501,"Melissa officinalis L.","Melissa officinalis",1974,"H","p",6,8,3,"sv","so, gd, am","g1, h","SC","se, in","se, zo","AFXF","H","T8","Intermediate"
"Melittis melissophyllum L.",8105693,"Melittis melissophyllum L.","Melittis melissophyllum",1975,"H","p",5,6,2,"sv","so","a2, a3","SC","in","zo","XF","HhFn","T1","Intermediate"
"Mentha aquatica L.",2927208,"Mentha aquatica L.","Mentha aquatica",1976,"H","p",7,10,4,"sv","gm, gd","a2","SC","in","zo","XF","BD","L3, L4, L5, S3","Intermediate"
"Mentha arvensis L.",2927192,"Mentha arvensis L.","Mentha arvensis",1977,"H","p",6,10,5,"sv","gm, gd","a2","SC","in","zo","XF","BD","T7","Intermediate"
"Mentha longifolia Huds.",2927177,"Mentha longifolia (L.) L.","Mentha longifolia",1978,"H","p",7,9,3,"sv","gm, gd","a3","SC","in","zo","XF","BD","L4, L5, T7","Yes"
"Mentha pulegium L.",2927189,"Mentha pulegium L.","Mentha pulegium",1979,"H","p",7,9,3,"sv","gm, gd","a2","SC","in","zo","XF","BD","L3, L5, T7","Intermediate"
"Mentha spicata L.",2927175,"Mentha spicata L.","Mentha spicata",1980,"H","p",7,9,3,"sv","gm, gd","a2","SC","in","zo","XF","BD","T8","Intermediate"
"Mentha suaveolens Ehrh.",2927190,"Mentha suaveolens Ehrh.","Mentha suaveolens",1981,"H","p",7,9,3,"sv","gm, gd","a2","SC","in","zo","XF","BD","L3, L4, T7","Intermediate"
"Mentha carinthiaca Host",3902478,"Mentha x carinthiaca Host ","Mentha carinthiaca",1982,"H","p",7,9,3,"v","gm, gd","a2","SC","in","zo","XF","BD",NA,"No"
"Mentha dalmatica Tausch",7309134,"Mentha x dalmatica Tausch ","Mentha dalmatica",1983,"H","p",7,9,3,"sv","gm, gd","a2","SC","in","zo","XF","BD",NA,"Intermediate"
"Mentha dumetorum Schult.",2927181,"Mentha x dumetorum Schult. ","Mentha dumetorum",1984,"H","p",7,9,3,"sv","gm, gd","a2","SC","in","zo","XF","BD",NA,"Intermediate"
"Mentha gentilis L.",8652594,"Mentha x gracilis Sole ","Mentha gentilis",1985,"H","p",7,9,3,"sv","gd","a2","SC","in","zo","XF","BD",NA,"Intermediate"
"Mentha piperita L.",8707933,"Mentha x piperita L. ","Mentha piperita",1986,"H","p",6,7,2,"v","gm, gd","a2","SC","in","zo",NA,"BD",NA,NA
"Mentha rotundifolia (L.) Huds.",8974899,"Mentha x rotundifolia (L.) Huds. ","Mentha rotundifolia",1987,"H","p",7,9,3,"v","gm, gd","a1","SC","in","zo","XF","BD",NA,"No"
"Mentha wirtgeniana F.W.Schultz",3893979,"Mentha x smithiana R. A. Graham ","Mentha wirtgeniana",1988,"H","p",7,9,3,"v","gm, gd","a2","SC","in","zo",NA,"BD",NA,NA
"Mentha verticillata L.",8172952,"Mentha x verticillata L. s. str. ","Mentha verticillata",1989,"H","p",7,8,2,"v","gm, gd","a2","SC","in","zo","XF","BD","L3","No"
"Mentha villosa Huds.",8004895,"Mentha x villosa Huds. ","Mentha villosa",1990,"H","p",7,8,2,"v","gm, gd","a2","SC","in","zo","XF","BD",NA,"No"
"Menyanthes trifoliata L.",5341511,"Menyanthes trifoliata L.","Menyanthes trifoliata",1992,"A, H","p",5,6,2,"vvs","so","g1","SI","se, in","se, zo","X","B","S1","Intermediate"
"Mercurialis annua L.",3062975,"Mercurialis annua L.","Mercurialis annua",1993,"T","a",6,10,5,"s","do","g2","SC","wi","ab","X","W","T10, T8, T9","No"
"Mercurialis ovata Sternb. & Hoppe",3063010,"Mercurialis ovata Sternb. & Hoppe","Mercurialis ovata",1994,"C","p",4,5,2,"sv","do","g2",NA,"wi","ab","X","W","T1","No"
"Mercurialis perennis L.",3063016,"Mercurialis perennis L.","Mercurialis perennis",1995,"G","p",4,5,2,"sv","do","g2",NA,"wi","ab","X","W","L5, T1","No"
"Mespilus germanica L.",3031774,"Mespilus germanica L.","Mespilus germanica",1996,"M, N","p",5,6,2,"vvs","so","h","SC","se, in","se, zo","AF","ABDe","T1","Intermediate"
"Meum athamanticum Jacq.",6026490,"Meum athamanticum Jacq.","Meum athamanticum",1997,"H","p",5,6,2,"s","am","a3","SC","in","zo","XF","A","T1","Yes"
"Mibora minima (L.) Desv.",2705682,"Mibora minima (L.) Desv.","Mibora minima",1998,"H, T","a",3,5,3,"s","so",NA,NA,"wi","ab",NA,"W","T6, T9",NA
"Micropyrum tenellum (L.) Link",4118792,"Micropyrum tenellum (L.) Link","Micropyrum tenellum",1999,"T","a",5,7,3,"s","so",NA,NA,"wi","ab",NA,"W","T10, T5, T6",NA
"Chaenorhinum minus Lange",3171669,"Microrrhinum minus (L.) Fourr.","Chaenorhinum minus",2000,"T","a",6,10,5,"s","so","h","SC","se","se","AO","H","T10, T5, T8, T9","No"
"Milium effusum L.",2706196,"Milium effusum L.","Milium effusum",2001,"H","p",5,7,3,"sv","so","g1","SC","wi, se","ab, se","AFXF","W","T1","Intermediate"
"Erythranthe guttata (DC.) G.L.Nesom",7346102,"Mimulus guttatus Fisch. ex DC.","Erythranthe guttata",2002,"H","p",6,10,5,"sv","so","h","SC","se, in","se, zo","XF","H","L2, L4","Intermediate"
"Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom",7346090,"Mimulus moschatus Douglas ex Lindl.","Erythranthe moschata",2003,"H","p",6,8,3,"sv","so","h",NA,"se, in","se, zo",NA,"H","T7",NA
"Sabulina austriaca Rchb.",5587122,"Minuartia austriaca (Jacq.) Hayek","Sabulina austriaca",2004,"C","p",6,8,3,"s","so","a2","SC","se, in","se, zo","XF","AB","T5","Intermediate"
"Facchinia cherlerioides (Hoppe) Dillenb. & Kadereit",7761492,"Minuartia cherlerioides (Hoppe) Bech.","Facchinia cherlerioides",2005,"C","p",7,8,2,"s","so",NA,"SC","se, in","se, zo","AFXF","AB","T5",NA
"Minuartia mucronata Schinz & Thell.",3812210,"Minuartia rubra (Scop.) McNeill","Minuartia mucronata",2006,"H, T","a, b",7,8,2,"s","so",NA,"SC","se","se","AF","AB","T6","No"
"Sabulina tenuifolia Rchb.",5586962,"Minuartia hybrida (Vill.) Schischk.","Sabulina tenuifolia",2007,"T","a",5,7,3,"s","so",NA,"SC","se, in","se, zo","AFXF","AB","T10, T6",NA
"Cherleria sedoides L.",8068542,"Minuartia sedoides (L.) Hiern","Cherleria sedoides",2009,"C","p",7,8,2,"s","so, gm, gd","h, a1, a3","SC","in","zo","XF","AD","T3, T5","Intermediate"
"Minuartia setacea (Thuill.) Hayek",7267480,"Minuartia setacea (Thuill.) Hayek","Minuartia setacea",2010,"C","p",5,8,4,"s","so",NA,"SC","se, in","se, zo","AFXF","AB","T6",NA
"Sabulina stricta Rchb.",8028147,"Minuartia stricta (Sw.) Hiern","Sabulina stricta",2011,"C","p",6,8,3,"s","so",NA,"SC","se, in","se, zo","AF","AB","S1",NA
"Sabulina verna Rchb.",8074997,"Minuartia verna (L.) Hiern s. l.","Sabulina verna",2012,"C","p",5,8,4,"s","so, gm, gd","a2","SC","se, in","se, zo","AFXF","AB","T3, T5, T6","Intermediate"
"Sabulina viscosa Rchb.",5586946,"Minuartia viscosa (Schreb.) Schinz. & Thell.","Sabulina viscosa",2013,"T","a",5,7,3,"s","so",NA,"SC","se","se","AF","AB","T6","No"
"Misopates orontium Raf.",3171145,"Misopates orontium (L.) Raf.","Misopates orontium",2014,"T","a",7,10,4,"s","so","h","SC","se, in","se, zo","AFXF","H","T9","Intermediate"
"Moehringia ciliata Dalla Torre",3810607,"Moehringia ciliata (Scop.) Dalla Torre","Moehringia ciliata",2015,"H","p",6,8,3,"s","so","g2","SC","se, in","se, zo","XF","AB","T3","Intermediate"
"Moehringia muscosa L.",7267358,"Moehringia muscosa L.","Moehringia muscosa",2016,"H","p",5,9,5,"s","so, gm, gd","a3","SC","se, in","se, zo","XF","AB","T5","Intermediate"
"Moehringia trinervia (L.) Clairv.",3085370,"Moehringia trinervia (L.) Clairv.","Moehringia trinervia",2017,"H","a, p",5,7,3,"s","so","g2, g1, h, a1","SC","se, in","se, zo","AF","AB","T1","Intermediate"
"Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb.",7841283,"Moenchia erecta (L.) Gaertn., B. Mey. & Scherb.","Moenchia erecta",2018,"T","a",4,5,2,"s","so","g2","SC","se, in","se, zo","AO","AB","T6","Intermediate"
"Molinia caerulea Moench",5289877,"Molinia arundinacea Schrank","Molinia caerulea",2019,"H","p",7,9,3,"ssv","so","a2","I","wi","ab","X","W","T1, T3, T6, T7","No"
"Monarda didyma L.",5341407,"Monarda didyma L.","Monarda didyma",2021,"H","p",7,9,3,"sv","so",NA,"SC","in","zo","AFXF","F",NA,NA
"Moneses uniflora A.Gray",2888298,"Moneses uniflora (L.) A. Gray","Moneses uniflora",2022,"C, G","p",5,7,3,"sv","so","h","SC","se, in","se, zo","AFXF","BD","T1","Intermediate"
"Hypopitys monotropa Crantz",2888342,"Monotropa hypophegea Wallr.","Hypopitys monotropa",2023,"G","p",6,7,2,"sv","so",NA,"SC","in","zo","AFXF","BHh","T1",NA
"Montia fontana L.",9004024,"Montia fontana L. s. l.","Montia fontana",2025,"H, T","a, p",6,8,3,"sv","so","h","SC","pk","se","AO","A","L2, L3","No"
"Muscari armeniacum Baker",2772174,"Muscari armeniacum Leichtl. ex Baker","Muscari armeniacum",2026,"G","p",3,5,3,"sv","so",NA,NA,"in","zo",NA,"Hb","T1",NA
"Muscari botryoides (L.) Mill.",2772094,"Muscari botryoides (L.) Mill.","Muscari botryoides",2027,"G","p",4,5,2,"sv","so","h","I","se, in","se, zo","X","Hb","T1, T6, T7","Intermediate"
"Leopoldia comosa Parl.",2769172,"Muscari comosum (L.) Mill.","Leopoldia comosa",2028,"G","p",5,6,2,"sv","am","h",NA,"in","zo",NA,"Hb","T6, T8",NA
"Muscari neglectum Guss. ex Ten.",2772020,"Muscari neglectum Guss. ex Ten.","Muscari neglectum",2029,"G","p",4,5,2,"sv","so","g2, h",NA,"in","zo",NA,"Hb","T6, T7, T9",NA
"Leopoldia tenuiflora Heldr.",2769247,"Muscari tenuiflorum Tausch","Leopoldia tenuiflora",2030,"G","p",5,6,2,"s","am","g1",NA,"se, in","se, zo",NA,"Hb","T6",NA
"Myagrum perfoliatum L.",3047811,"Myagrum perfoliatum L.","Myagrum perfoliatum",2031,"H","a",5,7,3,"s","so","h","SC","se, in","se, zo","XF","AB","T8","Intermediate"
"Lactuca muralis (L.) E.Mey.",7973078,"Mycelis muralis (L.) Dumort.","Lactuca muralis",2032,"H","b, p",7,8,2,"s","so","a1","SC","se, in","se, zo","AF","B","T1, T2","Intermediate"
