"SciName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep","AccName","GbifKey"
"Mentha x villosa Huds. ","Mentha villosa",1990,"H","p",7,8,2,"v","gm, gd","a2","SC","in","zo","XF","BD",NA,"No","Mentha villosa Huds.","8004895"
"Mentha x villosonervata Opiz ","Mentha longifolia",1991,"H","p",7,9,3,"v","gm, gd","a2","SC","in","zo","XF","BD",NA,"No","Mentha longifolia × spicata","10051670"
"Menyanthes trifoliata L.","Menyanthes trifoliata",1992,"A, H","p",5,6,2,"vvs","so","g1","SI","se, in","se, zo","X","B","S1.1","Intermediate","Menyanthes trifoliata L.","5341511"
"Mercurialis annua L.","Mercurialis annua",1993,"T","a",6,10,5,"s","do","g2","SC","wi","ab","X","W","T10.3.3.1, T8.3.1, T9.1.1.3, T9.1.2.1, T9.3.2.1","No","Mercurialis annua L.","3062975"
"Mercurialis ovata Sternb. & Hoppe","Mercurialis ovata",1994,"C","p",4,5,2,"sv","do","g2",NA,"wi","ab","X","W","T1.1.1.4","No","Mercurialis ovata Sternb. & Hoppe","3063010"
"Mercurialis perennis L.","Mercurialis perennis",1995,"G","p",4,5,2,"sv","do","g2",NA,"wi","ab","X","W","L5.2.3, T1.1.1","No","Mercurialis perennis L.","3063016"
"Mespilus germanica L.","Mespilus germanica",1996,"M, N","p",5,6,2,"vvs","so","h","SC","se, in","se, zo","AF","ABDe","T1.1.2.3, T1.1.2.5","Intermediate","Mespilus germanica L.","3031774"
"Meum athamanticum Jacq.","Meum athamanticum",1997,"H","p",5,6,2,"s","am","a3","SC","in","zo","XF","A","T1.3","Yes","Meum athamanticum Jacq.","6026490"
"Mibora minima (L.) Desv.","Mibora minima",1998,"H, T","a",3,5,3,"s","so",NA,NA,"wi","ab",NA,"W","T6.2.1.4.4, T9.1.1.1.1",NA,"Mibora minima (L.) Desv.","2705682"
"Micropyrum tenellum (L.) Link","Micropyrum tenellum",1999,"T","a",5,7,3,"s","so",NA,NA,"wi","ab",NA,"W","T10.3.3.1, T5.2.3, T6.2.1.4.5",NA,"Micropyrum tenellum (L.) Link","4118792"
"Microrrhinum minus (L.) Fourr.","Chaenorhinum minus",2000,"T","a",6,10,5,"s","so","h","SC","se","se","AO","H","T10.3.1.3, T10.3.3.1, T5.1.2.1, T8.3.1, T9.1.2.1, T9.1.2.2","No","Chaenorhinum minus Lange","3171669"
"Milium effusum L.","Milium effusum",2001,"H","p",5,7,3,"sv","so","g1","SC","wi, se","ab, se","AFXF","W","T1.1.1","Intermediate","Milium effusum L.","2706196"
"Mimulus guttatus Fisch. ex DC.","Erythranthe guttata",2002,"H","p",6,10,5,"sv","so","h","SC","se, in","se, zo","XF","H","L2.3.1.1, L4.1, L4.4","Intermediate","Erythranthe guttata (DC.) G.L.Nesom","7346102"
"Mimulus moschatus Douglas ex Lindl.","Erythranthe moschata",2003,"H","p",6,8,3,"sv","so","h",NA,"se, in","se, zo",NA,"H","T7.3.2",NA,"Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom","7346090"
"Minuartia austriaca (Jacq.) Hayek","Sabulina austriaca",2004,"C","p",6,8,3,"s","so","a2","SC","se, in","se, zo","XF","AB","T5.1","Intermediate","Sabulina austriaca Rchb.","5587122"
"Minuartia cherlerioides (Hoppe) Bech.","Facchinia cherlerioides",2005,"C","p",7,8,2,"s","so",NA,"SC","se, in","se, zo","AFXF","AB","T5.2.2.2",NA,"Facchinia cherlerioides (Hoppe) Dillenb. & Kadereit","7761492"
"Minuartia rubra (Scop.) McNeill","Minuartia mucronata",2006,"H, T","a, b",7,8,2,"s","so",NA,"SC","se","se","AF","AB","T6.2.2.2.1","No","Minuartia mucronata Schinz & Thell.","3812210"
"Minuartia hybrida (Vill.) Schischk.","Sabulina tenuifolia",2007,"T","a",5,7,3,"s","so",NA,"SC","se, in","se, zo","AFXF","AB","T10.2.2, T10.3.2.1, T6.2",NA,"Sabulina tenuifolia Rchb.","5586962"
"Minuartia rupestris (Scop.) Schinz & Thell.",NA,2008,"C","p",7,8,2,"s","so",NA,"SC","se, in","se, zo","AFXF","AB","T5.2.2.2",NA,NA,NA
"Minuartia sedoides (L.) Hiern","Cherleria sedoides",2009,"C","p",7,8,2,"s","so, gm, gd","h, a1, a3","SC","in","zo","XF","AD","T3.2.3, T5.1.1.1","Intermediate","Cherleria sedoides L.","8068542"
"Minuartia setacea (Thuill.) Hayek","Minuartia setacea",2010,"C","p",5,8,4,"s","so",NA,"SC","se, in","se, zo","AFXF","AB","T6.1.2.3, T6.2.2.2.1",NA,"Minuartia setacea (Thuill.) Hayek","7267480"
"Minuartia stricta (Sw.) Hiern","Sabulina stricta",2011,"C","p",6,8,3,"s","so",NA,"SC","se, in","se, zo","AF","AB","S1.1",NA,"Sabulina stricta Rchb.","8028147"
"Minuartia verna (L.) Hiern s. l.","Sabulina verna",2012,"C","p",5,8,4,"s","so, gm, gd","a2","SC","se, in","se, zo","AFXF","AB","T3.2.3, T3.4.2.1, T5.1.2, T6.2.2.2.1, T6.2.2.2.2, T6.2.2.2.3, T6.2.2.3","Intermediate","Sabulina verna Rchb.","8074997"
"Minuartia viscosa (Schreb.) Schinz. & Thell.","Sabulina viscosa",2013,"T","a",5,7,3,"s","so",NA,"SC","se","se","AF","AB","T6.2, T6.2.2.4","No","Sabulina viscosa Rchb.","5586946"
"Misopates orontium (L.) Raf.","Misopates orontium",2014,"T","a",7,10,4,"s","so","h","SC","se, in","se, zo","AFXF","H","T9.1.1.3","Intermediate","Misopates orontium Raf.","3171145"
"Moehringia ciliata (Scop.) Dalla Torre","Moehringia ciliata",2015,"H","p",6,8,3,"s","so","g2","SC","se, in","se, zo","XF","AB","T3.3.2","Intermediate","Moehringia ciliata Dalla Torre","3810607"
"Moehringia muscosa L.","Moehringia muscosa",2016,"H","p",5,9,5,"s","so, gm, gd","a3","SC","se, in","se, zo","XF","AB","T5.1.2.2.1","Intermediate","Moehringia muscosa L.","7267358"
"Moehringia trinervia (L.) Clairv.","Moehringia trinervia",2017,"H","a, p",5,7,3,"s","so","g2, g1, h, a1","SC","se, in","se, zo","AF","AB","T1.1.1, T1.1.1.3, T1.1.1.4, T1.1.2","Intermediate","Moehringia trinervia (L.) Clairv.","3085370"
"Moenchia erecta (L.) Gaertn., B. Mey. & Scherb.","Moenchia erecta",2018,"T","a",4,5,2,"s","so","g2","SC","se, in","se, zo","AO","AB","T6.2.1.4.5","Intermediate","Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb.","7841283"
"Molinia arundinacea Schrank","Molinia caerulea",2019,"H","p",7,9,3,"ssv","so","a2","I","wi","ab","X","W","T1.1.2.5, T1.4.1.3, T3.4.2.2, T6.2.2.2.3, T7.3.2","No","Molinia caerulea Moench","5289877"
"Molinia caerulea (L.) Moench s. str.","Molinia caerulea",2020,"H","p",7,9,3,"ssv","so","a2","I","wi","ab","X","W","S1.1, S1.5, T1.1.2.5, T4","No","Molinia caerulea Moench","5289877"
"Monarda didyma L.","Monarda didyma",2021,"H","p",7,9,3,"sv","so",NA,"SC","in","zo","AFXF","F",NA,NA,"Monarda didyma L.","5341407"
"Moneses uniflora (L.) A. Gray","Moneses uniflora",2022,"C, G","p",5,7,3,"sv","so","h","SC","se, in","se, zo","AFXF","BD","T1.4.1.1, T1.4.1.2","Intermediate","Moneses uniflora A.Gray","2888298"
"Monotropa hypophegea Wallr.","Hypopitys monotropa",2023,"G","p",6,7,2,"sv","so",NA,"SC","in","zo","AFXF","BHh","T1.1.4",NA,"Hypopitys monotropa Crantz","2888342"
"Monotropa hypopitys L. s. str.","Hypopitys monotropa",2024,"G","p",6,7,2,"sv","so",NA,"SC","se, in","se, zo","AO","BHh","T1.1.1.1, T1.1.1.3, T1.4.1.2, T1.4.1.3, T1.4.2",NA,"Hypopitys monotropa Crantz","2888342"
"Montia fontana L. s. l.","Montia fontana",2025,"H, T","a, p",6,8,3,"sv","so","h","SC","pk","se","AO","A","L2.3.1.1, L3.4.1, L3.7.3","No","Montia fontana L.","9004024"
"Muscari armeniacum Leichtl. ex Baker","Muscari armeniacum",2026,"G","p",3,5,3,"sv","so",NA,NA,"in","zo",NA,"Hb","T1.3",NA,"Muscari armeniacum Baker","2772174"
"Muscari botryoides (L.) Mill.","Muscari botryoides",2027,"G","p",4,5,2,"sv","so","h","I","se, in","se, zo","X","Hb","T1.1.2.3, T6.2.1.5.1, T6.2.2.2.4, T7.1.2, T7.1.3","Intermediate","Muscari botryoides (L.) Mill.","2772094"
"Muscari comosum (L.) Mill.","Leopoldia comosa",2028,"G","p",5,6,2,"sv","am","h",NA,"in","zo",NA,"Hb","T6.2.1.4.4, T6.2.2.2.3, T8.1.1",NA,"Leopoldia comosa Parl.","2769172"
"Muscari neglectum Guss. ex Ten.","Muscari neglectum",2029,"G","p",4,5,2,"sv","so","g2, h",NA,"in","zo",NA,"Hb","T6.2.2.2.3, T7.5.2.1, T9.1.2.1, T9.3.2.1",NA,"Muscari neglectum Guss. ex Ten.","2772020"
"Muscari tenuiflorum Tausch","Leopoldia tenuiflora",2030,"G","p",5,6,2,"s","am","g1",NA,"se, in","se, zo",NA,"Hb","T6.2",NA,"Leopoldia tenuiflora Heldr.","2769247"
"Myagrum perfoliatum L.","Myagrum perfoliatum",2031,"H","a",5,7,3,"s","so","h","SC","se, in","se, zo","XF","AB","T8.3.1","Intermediate","Myagrum perfoliatum L.","3047811"
"Mycelis muralis (L.) Dumort.","Lactuca muralis",2032,"H","b, p",7,8,2,"s","so","a1","SC","se, in","se, zo","AF","B","T1.1, T2.2","Intermediate","Lactuca muralis (L.) E.Mey.","7973078"
"Myosotis alpestris F. W. Schmidt","Myosotis alpestris",2033,"H","p",7,9,3,"s","so","h","SC","se, in","se, zo","AF","B","T3.1.1, T3.1.2, T3.3, T3.4.2","Intermediate","Myosotis alpestris F.W.Schmidt","5341187"
"Myosotis arvensis (L.) Hill","Myosotis arvensis",2034,"H, T","a, b",4,9,6,"s","so","h","SC","se, in","se, zo","AF","B","T10.7, T2.2.2, T9.1, T9.1.1.3, T9.2","Intermediate","Myosotis arvensis Hill","5341170"
"Myosotis laxa Lehm.","Myosotis laxa",2035,"H","b",5,7,3,"s","so","h",NA,"se, in","se, zo",NA,"B","H3.1.1, H3.1.2, H3.1.3, H3.2.1, H3.2.2, H3.2.3, L3.1.5, L3.2.5, L3.9.5, L4.1, L4.2, L4.3, L4.4, S2.1, T7.3.2",NA,"Myosotis laxa Lehm.","5341182"
"Myosotis decumbens Host","Myosotis decumbens",2036,"H","p",6,8,3,"sv","so","h",NA,"se, in","se, zo",NA,"B","T3.1.1",NA,"Myosotis decumbens Host","7295092"
"Myosotis discolor Pers.","Myosotis discolor",2037,"H, T","a",4,6,3,"s","so","h",NA,"se, in","se, zo",NA,"B","T6.2.1.4.5, T9.1.1.1.1",NA,"Myosotis discolor Pers.","5341177"
"Myosotis nemorosa Besser","Myosotis nemorosa",2038,"H","p",5,8,4,"sv","so","h",NA,"se, in","se, zo",NA,"B","L4.4",NA,"Myosotis nemorosa Besser","7730039"
"Myosotis scorpioides L. s. str.","Myosotis scorpioides",2039,"H","p",5,9,5,"sv","so","h","I","se, in","se, zo","X","B","H3.1.1, H3.1.2, H3.1.3, H3.2.1, H3.2.2, H3.2.3, L3.1.5, L3.2.5, L3.9.5, L4.1, L4.2, L4.3, L4.4, S3.2.5","Intermediate","Myosotis scorpioides L.","5341184"
"Myosotis praecox Hülph.","Myosotis scorpioides",2040,"H","p",6,7,2,"sv","so","h",NA,"se, in","se, zo",NA,"B","H1.1.3",NA,"Myosotis scorpioides L.","5341184"
"Myosotis ramosissima Rochel","Myosotis ramosissima",2041,"H, T","a",4,6,3,"s","so","h",NA,"se, in","se, zo",NA,"B","T10.3.4.2, T5.2.3, T6.2, T6.2.1.4",NA,"Myosotis ramosissima Rochel","7589756"
"Myosotis rehsteineri Wartm.","Myosotis rehsteineri",2042,"H","p",4,5,2,"sv","so","h",NA,"se, in","se, zo",NA,"B","L3",NA,"Myosotis rehsteineri Warten.","7930390"
"Myosotis sparsiflora Pohl","Myosotis sparsiflora",2043,"H, T","a",4,6,3,"s","so","h","SC","se, in","se, zo","AF","B","L5.2.3","Intermediate","Myosotis sparsiflora J.C.Mikan ex Pohl","7814874"
"Myosotis stricta Link ex Roem. & Schult.","Myosotis stricta",2044,"H, T","a",3,6,4,"s","so","h",NA,"se, in","se, zo",NA,"B","T5.2.3, T6.2, T6.2.1.4, T6.2.1.4.1",NA,"Myosotis stricta Link ex Roem. & Schult.","5341190"
"Myosotis sylvatica Ehrh. ex Hoffm.","Myosotis sylvatica",2045,"H","p",5,7,3,"sv","so","h","SC","se, in","se, zo","AF","B","T2.2.1, T2.2.2, T3.1.1, T3.1.2, T7.1.2","Intermediate","Myosotis sylvatica Hoffm.","5341175"
"Myosoton aquaticum (L.) Moench","Myosoton aquaticum",2046,"G, H","p",6,9,4,"sv","so, gm, gd","a2","SC","se, in","se, zo","AFXF","AB","L4.4, L5.2.4.2, L5.2.5, T2.3.2","Intermediate","Myosoton aquaticum Moench","3085313"
"Myosurus minimus L.","Myosurus minimus",2047,"T","a",4,6,3,"s","so","h, a2","SC","se, in","se, zo","AF","A","L3.7.3, T7.4.2","Intermediate","Myosurus minimus L.","3033605"
"Myrica gale L.","Myrica gale",2048,"N","p",4,5,2,"vvs","so, mo, do",NA,NA,"wi","ab","X","W","S3.2.1","No","Myrica gale L.","5414202"
"Myricaria germanica (L.) Desv.","Myricaria germanica",2049,"N","p",6,8,3,"s","so","g1",NA,"se, in","se, zo",NA,"B","L5.1.1, L5.1.2",NA,"Myricaria germanica Desv.","3612876"
"Myriophyllum alterniflorum DC.","Myriophyllum alterniflorum",2050,"A","p",6,8,3,"vvs","mo","h",NA,"wi","ab",NA,"W","L3.1.6.1",NA,"Myriophyllum alterniflorum DC.","5361773"
"Myriophyllum heterophyllum Michx.","Myriophyllum heterophyllum",2051,"A","p",6,7,2,"vvs","mo","g2, h",NA,"wi","ab",NA,"W","L3.1.4.1, L3.2.4.1, L3.3.4.1, L3.5.4.1, L3.6.4.1, L3.7.4.1, L3.8.4.1, L3.9.4.1",NA,"Myriophyllum heterophyllum Michx.","5361762"
"Myriophyllum spicatum L.","Myriophyllum spicatum",2052,"A","p",7,8,2,"vvs","mo","g1",NA,"wi, se, in","ab, se, zo",NA,"W","L3.1.4.1, L3.2.4.1, L3.3.4.1, L3.5.4.1, L3.6.4.1, L3.7.4.1, L3.8.4.1, L3.9.4.1",NA,"Myriophyllum spicatum L.","5361760"
"Myriophyllum verticillatum L.","Myriophyllum verticillatum",2053,"A","p",6,8,3,"vvs","mo","h",NA,"wi, wa","ab, ab",NA,"W","L3.1.4.2, L3.2, L3.2.4.2, L4.2.2.2",NA,"Myriophyllum verticillatum L.","5361779"
"Myrrhis odorata (L.) Scop.","Myrrhis odorata",2054,"H","p",6,7,2,"s","am","a2","SC","in","zo","XF","A","T3.1.2","Intermediate","Myrrhis odorata Scop.","3034681"
"Najas flexilis (Willd.) Rostk. & W. L. E. Schmidt","Najas flexilis",2055,"A, T","a",6,8,3,"sv","mo",NA,"SC","wa","ab","XF","Hy","L3.4","No","Najas flexilis Rostk. & Schmidt","5329315"
"Najas marina L. s. l.","Najas marina",2056,"A, T","a",6,8,3,"sv","do",NA,"SC","wa","ab","X","Hy","L3.1.4.1, L3.2, L3.2.4.1, L3.3.4.1, L3.5.4.1, L3.6.4.1, L3.7.4.1, L3.8.4.1, L3.9.4.1, L4.2.1","No","Najas marina L.","5329324"
"Najas minor All.","Najas minor",2057,"A, T","a, p",6,8,3,"sv","mo",NA,"SC","wa","ab","AFXF","Hy","L3.1.4.1, L3.2, L3.2.4.1, L3.3.4.1, L3.5.4.1, L3.6.4.1, L3.7.4.1, L3.8.4.1, L3.9.4.1","No","Najas minor All.","5329434"
"Narcissus poeticus L. s. str.","Narcissus poeticus",2058,"G","p",4,5,2,"sv","so","h",NA,"se, in","se, zo",NA,"F","T7.3.2",NA,"Narcissus poeticus L.","2858581"
"Narcissus pseudonarcissus L.","Narcissus pseudonarcissus",2059,"G","p",3,4,2,"vvs","so","h","SI","in","zo","X","Hh","T1.3, T6.2.1.5, T7.1.3, T9.2","Yes","Narcissus pseudonarcissus L.","2858244"
"Narcissus radiiflorus Salisb.","Narcissus poeticus",2060,"G","p",4,5,2,"sv","so","h",NA,"se, in","se, zo",NA,"F","T7.1.3",NA,"Narcissus poeticus L.","2858581"
"Nardus stricta L.","Nardus stricta",2061,"H","p",5,6,2,"vvs","so","g3, g2",NA,"wi","ab",NA,"W","T3.3.1, T6.2.1.5, T6.2.1.5.2",NA,"Nardus stricta L.","2702717"
"Narthecium ossifragum (L.) Huds.","Narthecium ossifragum",2062,"H","p",7,8,2,"vvs","so","h","SC","wi, se, in","ab, se, zo","AF","Po","S2.3, T4.5","Intermediate","Narthecium ossifragum Huds.","5602614"
"Nasturtium microphyllum (Boenn.) Rchb.","Nasturtium microphyllum",2063,"C","p",5,10,6,"sv","so","h","SC","se, in","se, zo",NA,"AB","L4.1.4",NA,"Nasturtium microphyllum Rchb.","9184619"
"Nasturtium officinale R. Br.","Nasturtium officinale",2064,"C","p",5,10,6,"sv","so","g1, h","SC","se, in","se, zo","AO","AB","L4.1.4","Intermediate","Nasturtium officinale W.T.Aiton","5708806"
"Nasturtium x sterile (Airy Shaw) Oefelein ",NA,2065,"C","p",NA,NA,NA,"vvs","so","h",NA,NA,NA,NA,"AB","L4.1.4",NA,"Nasturtium ×sterile (Airy Shaw) Oefel.","5550943"
"Neottia nidus-avis (L.) Rich.","Neottia nidus",2066,"G","p",5,6,2,"sv","so",NA,"SC, C","se, kl, in","se, se, zo","AFXF","AB","T1.1.1.4",NA,"Neottia nidus-avis Rich.","2816176"
"Nepeta cataria L.","Nepeta cataria",2067,"C, H","p",7,9,3,"s","gm, gd","a2","SC","in","zo","X","H","T8.2.2.5","Intermediate","Nepeta cataria L.","5341499"
"Nepeta grandiflora M. Bieb.","Nepeta grandiflora",2068,"C, H","p",7,8,2,"sv","gm",NA,"SC","in","zo","AFXF","H",NA,NA,"Nepeta grandiflora M.Bieb.","5341498"
"Nepeta pannonica L.","Nepeta nuda",2069,"C, H","p",7,8,2,"s","gm, gd","a2","SC","in","zo","XF","H","T6.2.2.3.2","Intermediate","Nepeta nuda L.","7309059"
"Neslia paniculata (L.) Desv. s. l.","Neslia paniculata",2070,"T","a",5,7,3,"s","so","h","SC","se","se","AO","AB","T8.3.1, T9.1.1.1, T9.1.2.2","No","Neslia paniculata (L.) Desv.","9040863"
"Nicandra physalodes (L.) Gaertn.","Nicandra physalodes",2071,"T","a",7,10,4,"s","so","h","SC","se, in","se, zo","AF","B","T8.3.1","Intermediate","Nicandra physalodes (L.) Gaertn.","5341754"
"Nicotiana rustica L.","Nicotiana rustica",2072,"T","a",6,9,4,"s","so",NA,"SC","se","se","AO","B",NA,"No","Nicotiana rustica L.","2928775"
"Nicotiana tabacum L.","Nicotiana tabacum",2073,"T","a",6,9,4,"s","so","g2","SC","se, in","se, zo","AF","F",NA,"Intermediate","Nicotiana tabacum L.","2928774"
"Nigella arvensis L.","Nigella arvensis",2074,"T","a",7,9,3,"s","so","a3","SC","se, in","se, zo","AFXF","H","T7.5.2.1","Intermediate","Nigella arvensis L.","7278276"
"Nigella damascena L.","Nigella damascena",2075,"H, T","a",6,8,3,"s","so","a2","SC","se, in","se, zo","AF","H",NA,"Intermediate","Nigella damascena L.","5371702"
"Nigritella rubra (Wettst.) K. Richt.","Gymnadenia miniata",2076,"G","p",6,8,3,"s","so",NA,"SC","in","zo",NA,"F","T3.4.2.1",NA,"Gymnadenia miniata (Crantz) Hayek","2840596"
"Nigritella nigra (L.) Rchb. f. s. str.","Gymnadenia nigra",2077,"G","p",6,8,3,"s","so",NA,"SC","in","zo",NA,"F","T3.4.2.1",NA,"Gymnadenia nigra Rchb.f.","2840590"
"Nigritella rhellicani Teppner & Klein","Gymnadenia rhellicani",2078,"G","p",6,8,3,"s","so",NA,"SC","in","zo","AFXF","F","T3.4.2.1, T6.2.1.5.4",NA,"Gymnadenia rhellicani (Teppner & E.Klein) Teppner & E.Klein","2840460"
"Nigritella widderi Teppner & Klein","Gymnadenia widderi",2079,"G","p",7,7,1,"s","so",NA,"SC","in","zo",NA,"F","T3.4.2.1",NA,"Gymnadenia widderi (Teppner & E.Klein) Teppner & E.Klein","2840457"
"Nonea pulla (L.) DC.","Nonea pulla",2080,"H","p",5,8,4,"s","so",NA,NA,"in","zo",NA,"H","T6.2.2.2.3, T8.1.1",NA,"Nonea pulla DC.","7294644"
"Nonea rosea (M. Bieb.) Link","Nonea rosea",2081,"H","p",6,7,2,"s","so",NA,NA,"in","zo",NA,"H","T8.3.1, T9.1.2.1",NA,"Nonea rosea Link","2926041"
"Nuphar lutea (L.) Sibth. & Sm.","Nuphar lutea",2082,"A, G","p",6,8,3,"sv","so","g2, g1, h","SC","in","zo","XF","AB","L3.2, L4.2","Intermediate","Nuphar lutea Sibth. & Sm.","7551339"
"Nuphar pumila (Timm) DC.","Nuphar pumila",2083,"A, G","p",7,8,2,"sv","so","g2, g1, h","SC","in","zo","XF","AB","L3.1.4.1","Intermediate","Nuphar pumila (Timm) DC.","6435002"
"Nuphar x spenneriana Gaudin ","Nuphar spenneriana",2084,"A, G","p",NA,NA,NA,"vvs","so","g2","SC","in","zo","XF","AB","L3.1.4.1","Intermediate","Nuphar spenneriana Gaudin","3697239"
"Nymphaea alba L.","Nymphaea alba",2085,"A, G","p",6,8,3,"sv","so","g1, h","SC","se, in","se, zo","AF","AB","L3.1, L3.4.2","Intermediate","Nymphaea alba L.","2882437"
"Nymphaea candida C. Presl","Nymphaea candida",2086,"A, G","p",6,8,3,"sv","so","g2","SC","in","zo","XF","AB","L3.1, L3.4.2","Intermediate","Nymphaea candida J.Presl & C.Presl","3697615"
"Nymphoides peltata (S. G. Gmel.) Kuntze","Nymphoides peltata",2087,"A","p",5,6,2,"sv","so","h","C","in","zo","AFXF","B","L3.2","Intermediate","Nymphoides peltata (S.G.Gmel.) Kuntze","8810827"
"Odontites litoralis (Fr.) Fr.","Odontites litoralis",2088,"T","a",5,7,3,"s","so","g2","SC","se, in","se, zo","AFXF","H","H2","Intermediate","Odontites litoralis Fries","7911410"
"Odontites luteus (L.) Clairv.","Odontites luteus",2089,"T","a",7,10,4,"s","so","g1, h",NA,"se, in","se, zo",NA,"H","T6.2",NA,"Odontites luteus (L.) Clairv.","7855120"
"Odontites vernus (Bellardi) Dumort.","Odontites vernus",2090,"T","a",5,7,3,"s","so","g2","SC","se, in","se, zo","AFXF","H","T9.1.1.1","Intermediate","Odontites vernus Dumort.","8971475"
"Odontites vulgaris Moench","Odontites vulgaris",2091,"T","a",7,9,3,"s","so","g2","SC","se, in","se, zo","AFXF","H","T2.1","Intermediate","Odontites vulgaris Moench","5415024"
"Oenanthe aquatica (L.) Poir.","Oenanthe aquatica",2092,"A, T","a, b, h",6,8,3,"sv","am","a2","SC","se, in","se, zo","AFXF","A","L3.1.5, L3.2.5, L3.9.5","Intermediate","Oenanthe aquatica (L.) Poir.","5371888"
"Oenanthe conioides Lange","Oenanthe conioides",2093,"H","b",6,7,2,"s",NA,NA,"SC","se, in","se, zo","AFXF","A","H3",NA,"Oenanthe conioides Lange","7443268"
"Oenanthe fistulosa L.","Oenanthe fistulosa",2094,"A, H","p",6,8,3,"sv","am, ad","a1","SC","in","zo","AFXF","A","S2.1, T7.3.3","Intermediate","Oenanthe fistulosa L.","5371890"
"Oenanthe fluviatilis (Bab.) Coleman","Oenanthe fluviatilis",2095,"A, T","a, b, h",6,7,2,"s",NA,NA,"SC","se, in","se, zo","AFXF","A","L3.1.5, L3.2.5, L3.9.5",NA,"Oenanthe fluviatilis Colem.","5540419"
"Oenanthe lachenalii C. C. Gmel.","Oenanthe lachenalii",2096,"H","p",7,9,3,"s",NA,NA,"SC","se, in","se, zo","AFXF","A","H1.3.2.1, H2.2.3.4, H2.2.3.5, L5.2.5.5, T7.3.3",NA,"Oenanthe lachenalii C.C.Gmel.","5540332"
"Oenanthe peucedanifolia Pollich","Oenanthe peucedanifolia",2097,"H","p",6,7,2,"s",NA,NA,"SC","se, in","se, zo","AFXF","A","T7.3.2",NA,"Oenanthe peucedanifolia Pollich","5540247"
"Oenanthe silaifolia M. Bieb.","Oenanthe silaifolia",2098,"H","p",5,7,3,"s",NA,NA,"SC","se, in","se, zo","AFXF","A","T7.3.3",NA,"Oenanthe silaifolia M.Bieb.","6027222"
"Oenothera acutifolia Rostanski","Oenothera acutifolia",2099,"H","b",7,9,3,"s","so","a2","SC","se, in","se, zo","AF","FnH","L4.2","Intermediate","Oenothera acutifolia Rostanski","3666061"
"Oenothera ammophila Focke","Oenothera ammophila",2100,"H","b",6,8,3,"s","so","a2","SC","se, in","se, zo","AF","FnH","H1.1.2.3, T8.2.2.5","Intermediate","Oenothera ammophila Focke","7322516"
"Oenothera angustissima Gates","Oenothera angustissima",2101,"H","b",7,8,2,"s","so","a2","SC","se, in","se, zo","AF","FnH","T10.3.1","Intermediate","Oenothera angustissima R.R.Gates","3188889"
"Oenothera biennis L. s. str.","Oenothera biennis",2102,"H","b",6,8,3,"s","so","a2","SC","se, in","se, zo","AO","FnH","L4.2, T10.3.1, T10.3.2, T10.3.4.2, T10.4.5, T8.2.2.2, T8.3.1, T9.1.8","Intermediate","Oenothera biennis L.","3188924"
"Oenothera brevispicata Hudziok","Oenothera brevispicata",2103,"H","b",7,8,2,"s","so","a2","SC","se, in","se, zo","AF","FnH","T8.2.2, T8.2.2.1, T8.2.2.2, T8.2.2.5, T8.2.2.6, T8.3","Intermediate","Oenothera brevispicata Hudziok","3664643"
"Oenothera canovirens Steele","Oenothera canovirens",2104,"H","a, b",7,9,3,"s","so","a2","SC","se, in","se, zo","AF","FnH","T10.3.1, T9.1.8","Intermediate","Oenothera canovirens Steele","6427797"
"Oenothera clavifera Hudziok","Oenothera clavifera",2105,"H","b",7,8,2,"s","so","a2","SC","se, in","se, zo","AF","FnH","T8.2.2, T8.2.2.1, T8.2.2.2, T8.2.2.5, T8.2.2.6, T8.3","Intermediate","Oenothera clavifera Hudziok","3663883"
"Oenothera coloratissima Hudziok","Oenothera coloratissima",2106,"H","b",6,8,3,"s","so","a2","SC","se, in","se, zo","AF","FnH","T10.3.1.3","Intermediate","Oenothera coloratissima Hudziok","3667755"
"Oenothera compacta Hudziok","Oenothera compacta",2107,"H","b",7,8,2,"s","so","a2","SC","se, in","se, zo","AF","FnH","T8.2.2, T8.2.2.1, T8.2.2.2, T8.2.2.5, T8.2.2.6, T8.3","Intermediate","Oenothera compacta Hudziok","3667667"
"Oenothera coronifera Renner","Oenothera coronifera",2108,"H","b",7,9,3,"s","so","a2","SC","in","zo","XF","FnH","T10.3.1.3, T8.2.2, T8.3","Intermediate","Oenothera coronifera Renner","7865307"
"Oenothera cruciata Nutt. ex G. Don","Oenothera parviflora",2109,"H","b",7,8,2,"s","so","a2","SC","se, in","se, zo","AF","FnH","T8.2.2, T8.2.2.1, T8.2.2.2, T8.2.2.5, T8.2.2.6, T8.3","Intermediate","Oenothera parviflora L.","8994150"
"Oenothera deflexa Gates","Oenothera deflexa",2110,"H","b",7,8,2,"s","so","a2","SC","se, in","se, zo","AF","FnH","T8.2.2, T8.3","Intermediate","Oenothera deflexa R.R.Gates","7322773"
"Oenothera depressa Greene","Oenothera villosa",2111,"H","b",7,9,3,"s","so","a2","SC","se, in","se, zo","AF","FnH","L4.2, T10.3.1","Intermediate","Oenothera villosa Thunb.","3188896"
